,RedFighter,BlueFighter,RedOdds,BlueOdds,RedExpectedValue,BlueExpectedValue,Date,Location,Country,Winner,TitleBout,WeightClass,Gender,NumberOfRounds,BlueCurrentLoseStreak,BlueCurrentWinStreak,BlueDraws,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueLongestWinStreak,BlueLosses,BlueTotalRoundsFought,BlueTotalTitleBouts,BlueWinsByDecisionMajority,BlueWinsByDecisionSplit,BlueWinsByDecisionUnanimous,BlueWinsByKO,BlueWinsBySubmission,BlueWinsByTKODoctorStoppage,BlueWins,BlueStance,BlueHeightCms,BlueReachCms,BlueWeightLbs,RedCurrentLoseStreak,RedCurrentWinStreak,RedDraws,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedLongestWinStreak,RedLosses,RedTotalRoundsFought,RedTotalTitleBouts,RedWinsByDecisionMajority,RedWinsByDecisionSplit,RedWinsByDecisionUnanimous,RedWinsByKO,RedWinsBySubmission,RedWinsByTKODoctorStoppage,RedWins,RedStance,RedHeightCms,RedReachCms,RedWeightLbs,RedAge,BlueAge,LoseStreakDif,WinStreakDif,LongestWinStreakDif,WinDif,LossDif,TotalRoundDif,TotalTitleBoutDif,KODif,SubDif,HeightDif,ReachDif,AgeDif,SigStrDif,AvgSubAttDif,AvgTDDif,EmptyArena,BMatchWCRank,RMatchWCRank,RWFlyweightRank,RWFeatherweightRank,RWStrawweightRank,RWBantamweightRank,RHeavyweightRank,RLightHeavyweightRank,RMiddleweightRank,RWelterweightRank,RLightweightRank,RFeatherweightRank,RBantamweightRank,RFlyweightRank,RPFPRank,BWFlyweightRank,BWFeatherweightRank,BWStrawweightRank,BWBantamweightRank,BHeavyweightRank,BLightHeavyweightRank,BMiddleweightRank,BWelterweightRank,BLightweightRank,BFeatherweightRank,BBantamweightRank,BFlyweightRank,BPFPRank,BetterRank,Finish,FinishDetails,FinishRound,FinishRoundTime,TotalFightTimeSecs,RedDecOdds,BlueDecOdds,RSubOdds,BSubOdds,RKOOdds,BKOOdds,RedMatchSigStr,BlueMatchSigStr,RedMatchTD,BlueMatchTD,RedMatchSubAtt,BlueMatchSubAtt,MatchFightTime,FightTag,Result
6070,Rashad Evans,Chael Sonnen,-240.0,220.0,41.6667,220.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Red,False,Light Heavyweight,MALE,3,0,1,0,31.3077,0.492,0.3077,2.8462,0.472,3,6,31,3,0,0,5,0,2,0,7,Southpaw,185.42,187.96,205,0,1,0,28.8824,0.373,0.0,2.8824,0.393,5,4,50,4,1,4,3,5,0,0,13,Orthodox,182.88,190.5,205,34,36,0,0,-2,-6,-2,-19,-1,-5,2,2.54,-2.54,-2,2.4253,0.3077,-0.0362,0.0,6.0,4.0,,,,,,4.0,,,,,,,,,,,,,6.0,,,,,,,,Red,KO/TKO,Punches,1.0,4:05,245.0,155.0,230.0,1200.0,925.0,240.0,1000.0,,,,,,,,Nov_16_13_rashad_evans_chael_sonnen,1
6071,Rory MacDonald,Robbie Lawler,-410.0,365.0,24.3902,365.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,0,2,0,22.0,0.452,0.0,1.5556,0.611,3,3,17,0,0,0,2,4,0,0,6,Southpaw,180.34,187.96,170,0,5,0,44.5714,0.503,0.5714,2.1429,0.437,5,1,16,0,0,0,3,2,1,0,6,Orthodox,182.88,193.04,170,24,31,0,-3,-2,0,-2,1,0,2,-1,-2.54,-5.08,-7,-22.5714,-0.5714,-0.5873,0.0,10.0,3.0,,,,,,,,3.0,,,,,,,,,,,,,10.0,,,,,,Red,S-DEC,,3.0,5:00,900.0,,1000.0,,2200.0,,365.0,,,,,,,,Nov_16_13_rory_macdonald_robbie_lawler,6
6072,Josh Koscheck,Tyron Woodley,100.0,-110.0,100.0,90.9091,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,37.5,0.655,0.0,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Orthodox,175.26,187.96,170,2,0,0,18.7273,0.405,0.3182,1.7727,0.502,5,7,48,1,0,1,5,6,3,0,15,Orthodox,177.8,185.42,170,35,31,1,0,-4,-14,6,-44,-1,-5,-3,-2.54,2.54,4,18.7727,-0.3182,-1.7727,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:38,278.0,175.0,250.0,875.0,550.0,650.0,325.0,,,,,,,,Nov_16_13_josh_koscheck_tyron_woodley,4
6073,Tim Elliott,Ali Bagautinov,-160.0,150.0,62.5,150.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Flyweight,MALE,3,0,1,0,38.0,0.55,1.0,3.0,0.6,1,0,3,0,0,0,0,1,0,0,1,Orthodox,162.56,165.1,125,0,2,0,77.0,0.483,2.0,4.3333,0.5,2,1,9,0,0,0,2,0,0,0,2,Southpaw,170.18,167.64,135,26,28,0,-1,-1,-1,1,-6,0,1,0,-7.62,-2.54,-2,-39.0,-1.0,-1.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,150.0,255.0,600.0,850.0,465.0,500.0,,,,,,,,Nov_16_13_tim_elliott_ali_bagautinov,6
6074,Donald Cerrone,Evan Dunham,-125.0,115.0,80.0,115.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Red,False,Lightweight,MALE,3,1,0,0,61.5455,0.377,1.0909,1.4545,0.382,4,4,28,0,0,3,1,1,1,1,7,Southpaw,177.8,177.8,155,1,0,0,47.1,0.473,0.2,0.9,0.265,4,3,21,0,0,0,3,2,2,0,7,Orthodox,185.42,185.42,155,30,31,0,0,0,0,-1,7,0,0,-1,-7.62,-7.62,-1,14.4455,0.8909,0.5545,0.0,,10.0,,,,,,,,,10.0,,,,,,,,,,,,,,,,,,Red,SUB,Triangle Choke,2.0,3:49,529.0,243.0,175.0,545.0,905.0,455.0,850.0,,,,,,,,Nov_16_13_donald_cerrone_evan_dunham,2
6075,Ed Herman,Thales Leites,165.0,-175.0,165.0,57.1429,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Middleweight,MALE,3,0,1,0,23.7778,0.367,1.4444,2.2222,0.368,5,3,23,1,0,1,2,0,3,0,6,Orthodox,185.42,198.12,185,0,1,0,27.0,0.533,0.9286,2.0714,0.544,3,6,30,1,0,1,1,2,4,0,8,Orthodox,185.42,195.58,205,33,32,0,0,2,-2,3,-7,0,-2,-1,0.0,2.54,1,-3.2222,0.5159,0.1508,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,340.0,171.0,1215.0,200.0,530.0,1288.0,,,,,,,,Nov_16_13_ed_herman_thales_leites,6
6076,Brian Ebersole,Rick Story,190.0,-210.0,190.0,47.619,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Welterweight,MALE,3,1,0,0,39.8462,0.416,1.0,2.5385,0.575,6,5,33,0,0,2,3,2,1,0,8,Southpaw,175.26,180.34,170,1,0,0,29.6,0.588,0.2,1.8,0.224,4,1,13,0,0,1,2,1,0,0,4,Southpaw,182.88,185.42,170,32,29,0,0,2,4,-4,20,0,1,1,-7.62,-5.08,3,10.2462,0.8,0.7385,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,370.0,110.0,820.0,1150.0,600.0,350.0,,,,,,,,Nov_16_13_brian_ebersole_rick_story,6
6077,Erik Perez,Edwin Figueroa,-425.0,378.0,23.5294,378.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Red,False,Bantamweight,MALE,3,2,0,0,35.0,0.448,0.6,0.2,0.2,2,3,13,0,0,1,0,1,0,0,2,Orthodox,170.18,175.26,135,1,0,0,26.0,0.625,0.25,1.25,0.113,3,1,6,0,0,0,0,2,1,0,3,Orthodox,172.72,172.72,135,23,29,-1,0,-1,-1,-2,7,0,-1,-1,-2.54,2.54,-6,9.0,0.35,-1.05,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,188.0,569.0,606.0,2900.0,145.0,800.0,,,,,,,,Nov_16_13_erik_perez_edwin_figueroa,3
6078,Jason High,Anthony Lapsley,-320.0,290.0,31.25,290.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Red,False,Welterweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,175.26,180.34,170,0,1,0,4.3333,0.18,1.6667,0.3333,0.333,1,2,5,0,0,0,0,0,1,0,1,Southpaw,172.72,180.34,155,32,33,0,-1,-1,-1,2,-5,0,0,-1,2.54,0.0,-1,-4.3333,-1.6667,-0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,320.0,435.0,-120.0,1310.0,901.0,1050.0,,,,,,,,Nov_16_13_jason_high_anthony_lapsley,3
6079,Will Campuzano,Sergio Pettis,355.0,-400.0,355.0,25.0,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Bantamweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,175.26,135,2,0,0,39.0,0.35,0.0,0.5,0.25,0,2,6,0,0,0,0,0,0,0,0,Orthodox,175.26,177.8,125,27,20,2,0,0,0,2,-6,0,0,0,-7.62,-2.54,7,-39.0,0.0,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,500.0,254.0,1665.0,225.0,1350.0,240.0,,,,,,,,Nov_16_13_will_campuzano_sergio_pettis,6
6080,Cody Donovan,Gian Villante,310.0,-340.0,310.0,29.4118,2013-11-16,"Las Vegas, Nevada, USA", USA,Blue,False,Light Heavyweight,MALE,3,1,0,0,28.0,0.56,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,190.5,193.04,205,1,0,0,14.5,0.68,0.0,0.5,0.5,1,1,2,0,0,0,0,1,0,0,1,Orthodox,190.5,187.96,205,32,28,0,0,-1,-1,0,1,0,-1,0,0.0,5.08,4,13.5,0.0,-0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,1:22,382.0,470.0,369.0,1440.0,1160.0,1110.0,-130.0,,,,,,,,Nov_16_13_cody_donovan_gian_villante,4
6081,Vitor Belfort,Dan Henderson,-220.0,200.0,45.4545,200.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Red,False,Light Heavyweight,MALE,5,2,0,0,38.3,0.484,0.5,1.4,0.394,4,4,30,3,0,2,3,1,0,0,6,Orthodox,180.34,187.96,185,0,2,0,10.5556,0.498,0.4444,0.3333,0.153,3,6,28,5,0,0,0,9,2,1,12,Southpaw,182.88,187.96,185,36,43,-2,-2,1,-6,2,2,-2,-9,-2,-2.54,0.0,-7,27.7444,0.0556,1.0667,0.0,6.0,,,,,,,,2.0,,,,,,,,,,,,6.0,,,,,,,,Blue,KO/TKO,Kick,1.0,1:17,77.0,275.0,600.0,450.0,2200.0,160.0,300.0,,,,,,,,Nov_09_13_vitor_belfort_dan_henderson,1
6082,Cezar Ferreira,Daniel Sarafian,-165.0,155.0,60.6061,155.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Red,False,Middleweight,MALE,3,0,1,0,23.0,0.63,0.5,0.5,0.5,1,1,4,0,0,0,0,0,1,0,1,Orthodox,175.26,185.42,185,0,2,0,22.5,0.485,0.5,0.0,0.0,2,0,4,1,0,0,1,0,1,0,2,Southpaw,185.42,198.12,185,28,31,0,-1,-1,-1,-1,0,-1,0,0,-10.16,-12.7,-3,0.5,0.0,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,220.0,440.0,380.0,400.0,290.0,575.0,,,,,,,,Nov_09_13_cezar_ferreira_daniel_sarafian,3
6083,Rafael Feijao,Igor Pokrajac,-320.0,290.0,31.25,290.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Red,False,Light Heavyweight,MALE,3,3,0,0,22.5,0.477,0.2,0.7,0.241,3,6,23,0,0,0,1,2,1,0,4,Orthodox,182.88,193.04,205,1,0,0,24.0,0.39,0.0,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,185.42,185.42,205,33,34,-2,0,3,4,-5,22,0,2,1,-2.54,7.62,-1,-1.5,0.2,0.7,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,450.0,,1500.0,,550.0,,,,,,,,Nov_09_13_rafael_feijao_igor_pokrajac,3
6084,Paulo Thiago,Brandon Thatch,325.0,-360.0,325.0,27.7778,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,17.0,0.65,0.0,1.0,1.0,1,0,1,0,0,0,0,1,0,0,1,Switch,187.96,187.96,170,0,1,0,17.1,0.338,1.2,1.2,0.244,2,5,25,0,0,0,3,1,1,0,5,Orthodox,180.34,185.42,170,32,28,0,0,-1,-4,5,-24,0,0,-1,7.62,2.54,4,-0.1,-1.2,-0.2,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Knee,1.0,2:10,130.0,400.0,500.0,750.0,600.0,1250.0,-150.0,,,,,,,,Nov_09_13_paulo_thiago_brandon_thatch,4
6085,Santiago Ponzinibbio,Ryan LaFlare,105.0,-115.0,105.0,86.9565,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Welterweight,MALE,3,0,1,0,37.0,0.41,1.0,6.0,0.75,1,0,3,0,0,0,1,0,0,0,1,Southpaw,185.42,187.96,170,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,170,27,30,0,1,1,1,0,3,0,0,0,2.54,2.54,-3,37.0,1.0,6.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,350.0,,650.0,,325.0,,,,,,,,,Nov_09_13_santiago_ponzinibbio_ryan_laflare,6
6086,Rony Jason,Jeremy Stephens,-185.0,170.0,54.0541,170.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Featherweight,MALE,3,0,1,0,32.0,0.443,0.5625,1.5,0.364,2,8,41,0,0,1,3,3,0,1,8,Orthodox,172.72,180.34,145,0,3,0,29.6667,0.603,0.6667,0.3333,0.333,3,0,6,1,0,0,1,1,1,0,3,Orthodox,170.18,177.8,145,29,27,0,-2,-1,5,-8,35,-1,3,-1,2.54,2.54,2,2.3333,-0.1042,1.1667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,0:40,40.0,325.0,490.0,310.0,1395.0,375.0,290.0,,,,,,,,Nov_09_13_rony_jason_jeremy_stephens,4
6087,Godofredo Pepey,Sam Sicilia,-120.0,110.0,83.3333,110.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Featherweight,MALE,3,2,0,0,32.6667,0.337,0.3333,0.6667,0.38,1,2,7,0,0,0,0,1,0,0,1,Orthodox,172.72,170.18,145,1,0,0,24.0,0.383,0.3333,0.3333,0.167,1,2,7,1,0,1,0,0,0,0,1,Orthodox,170.18,185.42,145,26,27,-1,0,0,0,0,0,-1,1,0,2.54,-15.24,-1,8.6667,0.0,0.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,1:42,102.0,675.0,370.0,200.0,931.0,480.0,290.0,,,,,,,,Nov_09_13_godofredo_pepey_sam_sicilia,4
6088,Thiago Perpetuo,Omari Akhmedov,140.0,-150.0,140.0,66.6667,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,185,0,1,0,68.0,0.72,0.0,1.0,0.25,1,0,3,0,0,0,0,1,0,0,1,Orthodox,177.8,180.34,170,25,26,0,-1,-1,-1,0,-3,0,-1,0,5.08,5.08,-1,-68.0,0.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,,1.0,3:31,211.0,260.0,600.0,1260.0,664.0,580.0,130.0,,,,,,,,Nov_09_13_thiago_perpetuo_omari_akhmedov,4
6089,Thiago Tavares,Justin Salas,-245.0,225.0,40.8163,225.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,1,0,36.3333,0.483,0.0,2.3333,0.197,1,1,7,0,0,1,1,0,0,0,2,Southpaw,172.72,177.8,155,1,0,0,20.0769,0.415,1.0,2.3846,0.438,2,6,31,0,0,0,4,1,2,0,7,Orthodox,170.18,172.72,145,29,31,1,1,-1,-5,5,-24,0,-1,-2,2.54,5.08,-2,16.2564,-1.0,-0.0513,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,2:38,158.0,171.0,364.0,245.0,1825.0,626.0,675.0,,,,,,,,Nov_09_13_thiago_tavares_justin_salas,2
6090,Adriano Martins,Daron Cruickshank,130.0,-140.0,130.0,71.4286,2013-11-09,"Goiania, Goias, Brazil", Brazil,Red,False,Lightweight,MALE,3,0,1,0,41.0,0.42,0.0,1.0,0.2,2,1,11,0,0,1,1,1,0,0,3,Switch,172.72,182.88,155,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Southpaw,177.8,182.88,155,30,28,0,1,2,3,-1,11,0,1,0,-5.08,0.0,2,41.0,0.0,1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Armbar,2.0,2:49,469.0,334.0,173.0,1120.0,1215.0,375.0,375.0,,,,,,,,Nov_09_13_adriano_martins_daron_cruickshank,2
6091,Jose Maria,Dustin Ortiz,-115.0,105.0,86.9565,105.0,2013-11-09,"Goiania, Goias, Brazil", Brazil,Blue,False,Flyweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,165.1,165.1,125,1,0,0,19.0,0.52,1.0,1.0,0.2,0,1,2,0,0,0,0,0,0,0,0,Orthodox,165.1,165.0,125,31,24,1,0,0,0,1,-2,0,0,0,0.0,0.1,7,-19.0,-1.0,-1.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,3:19,799.0,,226.0,,675.0,,575.0,,,,,,,,Nov_09_13_jose_maria_dustin_ortiz,4
6092,Tim Kennedy,Rafael Natal,-380.0,340.0,26.3158,340.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Red,False,Middleweight,MALE,5,0,3,0,40.625,0.494,0.875,2.5,0.346,3,3,23,0,0,0,4,0,1,0,5,Orthodox,182.88,193.04,185,0,1,0,54.0,0.58,0.0,2.0,0.5,1,0,3,0,0,0,1,0,0,0,1,Orthodox,180.34,187.96,185,34,30,0,2,2,4,-3,20,0,0,1,2.54,5.08,4,-13.375,0.875,0.5,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,4:40,280.0,160.0,500.0,600.0,1500.0,180.0,950.0,,,,,,,,Nov_06_13_tim_kennedy_rafael_natal,1
6093,Liz Carmouche,Alexis Davis,-190.0,165.0,52.6316,165.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Women's Bantamweight,FEMALE,3,0,1,0,44.0,0.6,3.0,0.0,0.0,1,0,3,0,0,0,1,0,0,0,1,Orthodox,167.64,172.72,125,0,1,0,27.0,0.63,1.0,1.5,0.5,1,1,3,1,0,0,0,1,0,0,1,Orthodox,167.64,167.64,125,29,29,0,0,0,0,1,0,-1,-1,0,0.0,5.08,0,17.0,2.0,-1.5,0.0,6.0,4.0,,,,4.0,,,,,,,,,,,,,6.0,,,,,,,,,,Red,U-DEC,,3.0,5:00,900.0,150.0,335.0,1050.0,550.0,275.0,1500.0,,,,,,,,Nov_06_13_liz_carmouche_alexis_davis,6
6094,Ronny Markes,Yoel Romero,145.0,-155.0,145.0,64.5161,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Middleweight,MALE,3,0,1,0,12.0,1.0,0.0,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Southpaw,182.88,185.42,185,0,3,0,35.6667,0.647,0.6667,3.3333,0.497,3,0,9,0,0,1,2,0,0,0,3,Orthodox,185.42,190.5,185,25,36,0,-2,-2,-2,0,-8,0,1,0,-2.54,-5.08,-11,-23.6667,-0.6667,-3.3333,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,1:39,699.0,240.0,450.0,1275.0,650.0,1150.0,125.0,,,,,,,,Nov_06_13_ronny_markes_yoel_romero,4
6095,Jorge Masvidal,Rustam Khabilov,125.0,-135.0,125.0,74.0741,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Lightweight,MALE,3,0,2,0,8.0,0.425,0.0,3.0,0.665,2,0,2,0,0,0,0,1,0,1,2,Orthodox,172.72,185.42,155,0,2,0,37.0,0.5,1.0,3.0,0.375,2,0,5,0,0,0,1,0,1,0,2,Orthodox,180.34,187.96,170,28,27,0,0,0,0,0,-3,0,2,-1,-7.62,-2.54,1,-29.0,-1.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,300.0,190.0,1100.0,575.0,475.0,340.0,,,,,,,,Nov_06_13_jorge_masvidal_rustam_khabilov,6
6096,Colton Smith,Michael Chiesa,110.0,-120.0,110.0,83.3333,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Lightweight,MALE,3,1,0,0,12.6667,0.383,1.0,1.3333,0.31,2,1,5,1,0,0,0,0,2,0,2,Southpaw,185.42,190.5,170,1,0,0,24.0,0.595,1.0,3.5,0.215,1,1,6,1,0,0,1,0,0,0,1,Orthodox,182.88,180.34,155,26,25,0,0,1,1,0,-1,0,0,2,2.54,10.16,1,-11.3333,0.0,-2.1667,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,1:41,401.0,250.0,406.0,750.0,200.0,750.0,475.0,,,,,,,,Nov_06_13_colton_smith_michael_chiesa,5
6097,Bobby Green,James Krause,105.0,-115.0,105.0,86.9565,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Red,False,Lightweight,MALE,3,0,1,0,96.0,0.51,1.0,1.0,0.5,1,0,3,0,0,0,0,0,1,0,1,Orthodox,187.96,185.42,170,0,1,0,54.0,0.6,1.0,1.0,1.0,1,0,3,0,0,0,0,0,1,0,1,Orthodox,177.8,180.34,155,27,27,0,0,0,0,0,0,0,0,0,10.16,5.08,0,42.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,3:50,230.0,210.0,264.0,820.0,330.0,600.0,550.0,,,,,,,,Nov_06_13_bobby_green_james_krause,1
6098,George Roop,Francisco Rivera,125.0,-135.0,125.0,74.0741,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Bantamweight,MALE,3,0,1,0,48.25,0.503,0.75,0.5,0.25,1,2,9,0,0,0,1,1,0,0,2,Orthodox,172.72,172.72,135,0,2,0,37.5556,0.358,0.1111,0.5556,0.296,2,5,22,0,0,1,1,2,0,0,4,Orthodox,185.42,182.88,135,31,32,0,-1,-1,-2,3,-13,0,-1,0,-12.7,-10.16,-1,10.6944,0.6389,-0.0556,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,2.0,2:20,440.0,443.0,380.0,700.0,1150.0,245.0,180.0,,,,,,,,Nov_06_13_george_roop_francisco_rivera,4
6099,Dennis Bermudez,Steven Siler,-190.0,175.0,52.6316,175.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Red,False,Featherweight,MALE,3,0,2,0,39.3333,0.463,1.1667,0.5,0.123,3,1,14,0,0,0,3,1,1,0,5,Orthodox,180.34,177.8,145,0,4,0,55.0,0.434,1.0,2.8,0.564,4,1,11,1,0,2,1,0,1,0,4,Orthodox,167.64,167.64,155,26,26,0,-2,-1,1,0,3,-1,1,0,12.7,10.16,0,-15.6667,0.1667,-2.3,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,177.0,310.0,500.0,650.0,400.0,1500.0,,,,,,,,Nov_06_13_dennis_bermudez_steven_siler,3
6100,Amanda Nunes,Germaine de Randamie,115.0,-125.0,115.0,80.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Red,False,Women's Bantamweight,FEMALE,3,0,1,0,50.0,0.6,0.0,0.0,0.0,1,0,3,0,0,1,0,0,0,0,1,Orthodox,175.26,180.34,135,0,1,0,10.0,0.62,0.0,2.0,0.66,1,0,1,0,0,0,0,1,0,0,1,Orthodox,172.72,175.26,145,25,29,0,0,0,0,0,2,0,-1,0,2.54,5.08,-4,40.0,0.0,-2.0,0.0,9.0,8.0,,,,8.0,,,,,,,,,,,,,9.0,,,,,,,,,,Red,KO/TKO,Elbows,1.0,3:56,236.0,350.0,250.0,460.0,1495.0,405.0,275.0,,,,,,,,Nov_06_13_amanda_nunes_germaine_de_randamie,1
6101,Chris Camozzi,Lorenz Larkin,375.0,-420.0,375.0,23.8095,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Middleweight,MALE,3,1,0,0,32.0,0.39,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,180.34,182.88,170,1,0,0,45.0,0.429,0.3333,0.0,0.0,4,3,23,0,0,2,2,0,1,1,6,Orthodox,187.96,193.04,185,26,27,0,0,-4,-6,2,-20,0,-1,-1,-7.62,-10.16,-1,-13.0,-0.3333,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,500.0,-108.0,800.0,1130.0,700.0,265.0,,,,,,,,Nov_06_13_chris_camozzi_lorenz_larkin,6
6102,Neil Magny,Seth Baczynski,-145.0,135.0,68.9655,135.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Blue,False,Welterweight,MALE,3,2,0,0,23.8571,0.331,0.7143,0.2857,0.057,4,3,15,0,0,1,0,1,2,0,4,Orthodox,190.5,187.96,170,1,0,0,36.0,0.39,0.0,2.0,0.4,1,1,4,0,0,0,1,0,0,0,1,Orthodox,190.5,203.2,170,26,32,-1,0,3,3,-2,11,0,1,2,0.0,-15.24,-6,-12.1429,0.7143,-1.7143,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,191.0,412.0,880.0,500.0,460.0,365.0,,,,,,,,Nov_06_13_neil_magny_seth_baczynski,6
6103,Derek Brunson,Brian Houston,-170.0,160.0,58.8235,160.0,2013-11-06,"Fort Campbell, Kentucky, USA", USA,Red,False,Middleweight,MALE,3,0,0,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,187.96,198.12,185,0,1,0,41.0,0.31,1.0,4.0,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,185.42,195.58,185,29,32,0,-1,-1,-1,0,-3,0,0,0,2.54,2.54,-3,-41.0,-1.0,-4.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,0:48,48.0,,,,,,,,,,,,,,Nov_06_13_derek_brunson_brian_houston,2
